,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,+/-,Salary,Gender,Pick,UnDraft
0,A'ja Wilson,LVA,26,36,26,10,30.0,19.5,8.7,199211,0,1,0
1,Aari McDonald,ATL,24,36,14,22,24.3,11.1,-0.1,73356,0,3,0
2,Aerial Powers,MIN,29,35,13,22,27.0,14.4,-3.7,196267,0,5,0
3,Aisha Sheppard,LVA,24,23,18,5,7.6,1.5,-1.7,66390,0,23,0
4,Allie Quigley,CHI,37,34,25,9,26.3,11.4,4.6,135000,0,22,0
5,Allisha Gray,DAL,28,33,18,15,32.9,13.3,2.4,164800,0,4,0
6,Alysha Clark,WAS,35,29,18,11,26.4,8.0,4.2,183000,0,17,0
7,Alyssa Thomas,CON,31,36,25,11,32.1,13.4,7.3,209000,0,4,0
8,Ariel Atkins,WAS,26,36,22,14,30.0,14.6,4.2,172500,0,7,0
9,Arike Ogunbowale,DAL,26,30,14,16,31.4,19.7,0.1,55059,0,5,0
10,Awak Kuier,DAL,21,33,17,16,12.6,2.8,-0.3,73356,0,2,0
11,Beatrice Mompremier,ATL,26,21,10,11,8.3,2.1,-0.5,60471,0,20,0
12,Breanna Stewart,SEA,28,34,22,12,30.9,21.8,6.7,228094,0,1,0
13,Bria Hartley,CON,30,13,4,9,9.5,3.0,-1.3,23000,0,7,0
14,Briann January,SEA,36,36,22,14,16.9,3.7,-1.4,140000,0,6,0
15,Brianna Turner,PHO,26,35,15,20,33.4,4.3,-0.4,49376,0,11,0
16,Bridget Carleton,MIN,26,36,14,22,16.8,4.3,1.6,72141,0,21,0
17,Brionna Jones,CON,27,36,25,11,25.1,13.8,5.5,120000,0,8,0
18,Brittney Sykes,LAS,29,32,10,22,28.8,12.7,-5.2,111650,0,7,0
19,Candace Parker,CHI,37,32,23,9,28.2,13.2,5.6,192500,0,1,0
20,Charli Collier,DAL,23,17,8,9,4.6,2.0,-3.1,73356,0,1,0
21,Chelsea Gray,LVA,30,35,25,10,29.7,13.7,8.1,196267,0,11,0
22,Chennedy Carter,LAS,24,24,8,16,16.4,8.9,-4.3,71199,0,4,0
23,Cheyenne Parker,ATL,30,36,14,22,26.2,11.8,-2.9,190550,0,5,0
24,Chiney Ogwumike,LAS,31,26,12,14,18.4,7.0,-0.6,114695,0,1,0
25,Courtney Vandersloot,CHI,34,32,23,9,26.5,11.8,6.2,195000,0,3,0
26,Courtney Williams,CON,29,34,24,10,28.0,11.1,6.0,103000,0,8,0
27,Crystal Dangerfield,NYL,25,33,16,17,21.5,5.5,0.2,25745,0,16,0
28,Damiris Dantas,MIN,30,15,7,8,17.4,5.1,3.0,105000,0,12,0
29,Dana Evans,CHI,24,33,24,9,11.5,4.3,-1.0,64457,0,13,0
30,Danielle Robinson,IND,34,31,4,27,23.6,7.4,-3.9,155000,0,6,0
31,DeWanna Bonner,CON,35,33,23,10,30.0,13.5,6.1,224870,0,5,0
32,Destanni Henderson,IND,24,36,5,31,16.4,5.3,-6.6,66390,0,20,0
33,DiJonai Carrington,CON,25,36,25,11,17.5,6.8,2.7,64457,0,20,0
34,Diamond DeShields,PHO,28,30,13,17,25.3,13.1,-3.9,152250,0,3,0
35,Diana Taurasi,PHO,41,31,13,18,31.0,16.7,-4.0,224772,0,1,0
36,Elena Delle Donne,WAS,33,25,18,7,27.8,17.2,6.3,224870,0,2,0
37,Elizabeth Williams,WAS,30,30,18,12,14.9,5.4,1.1,90000,0,4,0
38,Emily Engstler,IND,23,35,5,30,18.2,5.2,-6.0,75556,0,4,0
39,Emma Cannon,IND,34,24,2,22,14.0,6.8,-4.4,81200,0,,1
40,Emma Meesseman,CHI,30,36,26,10,28.6,12.4,5.4,185000,0,19,0
41,Epiphanny Prince,SEA,35,33,21,12,12.3,3.9,-0.9,115000,0,4,0
42,Erica Wheeler,ATL,32,30,13,17,26.3,8.4,-2.0,182700,0,,1
43,Evina Westbrook,WAS,24,20,9,11,10.2,2.8,-0.1,16764,0,21,0
44,Ezi Magbegor,SEA,23,33,20,13,24.7,9.5,1.7,47261,0,12,0
45,Gabby Williams,SEA,26,36,22,14,25.6,7.5,5.0,144000,0,4,0
46,Iliana Rupert,LVA,21,17,12,5,13.1,3.8,-2.8,59817,0,12,0
47,Isabelle Harrison,DAL,29,35,17,18,18.4,8.7,-0.8,154455,0,12,0
48,Jackie Young,LVA,25,34,24,10,33.2,15.9,6.6,252450,0,1,0
49,Jantel Lavender,SEA,34,27,17,10,12.2,3.8,-1.7,72141,0,5,0
50,Jasmine Dickey,DAL,23,20,11,9,4.7,1.1,-2.6,62307,0,30,0
51,Jasmine Thomas,CON,33,5,4,1,21.8,6.6,6.8,188333,0,12,0
52,Jasmine Walker,LAS,25,32,11,21,8.8,1.6,-4.2,70389,0,7,0
53,Jazmine Jones,WAS,26,8,6,2,5.8,0.8,-4.4,2994,0,12,0
54,Jennie Simms,PHO,29,23,10,13,13.2,3.4,0.7,12573,0,18,0
55,Jessica Shepard,MIN,26,36,14,22,26.1,8.1,-2.5,47381,0,16,0
56,Jewell Loyd,SEA,29,36,22,14,30.3,16.3,5.3,231515,0,1,0
57,Jocelyn Willoughby,NYL,25,11,4,7,11.0,2.6,-5.5,65459,0,10,0
58,Jonquel Jones,CON,29,33,23,10,26.4,14.6,7.7,208075,0,6,0
59,Jordin Canada,LAS,27,32,10,22,27.0,9.2,-3.9,98000,0,5,0
60,Joyner Holmes,CON,25,26,21,5,7.9,2.0,-1.6,14968,0,19,0
61,Julie Allemand,CHI,26,25,19,6,16.1,3.0,0.0,46955,0,33,0
62,Kaela Davis,PHO,28,7,3,4,7.8,4.9,0.7,1607,0,10,0
63,Kahleah Copper,CHI,28,31,23,8,28.8,15.7,5.5,202500,0,7,0
64,Katie Lou Samuelson,LAS,26,32,11,21,29.5,9.7,-4.8,59439,0,4,0
65,Kayla McBride,MIN,31,31,14,17,29.8,13.3,0.1,196267,0,3,0
66,Kayla Thornton,DAL,30,36,18,18,29.2,8.0,-0.3,101985,0,,1
67,Kelsey Mitchell,IND,27,31,5,26,32.6,18.4,-9.1,206000,0,2,0
68,Kelsey Plum,LVA,28,36,26,10,32.8,20.2,7.8,200000,0,1,0
69,Khayla Pointer,IND,24,10,0,10,5.8,2.2,-0.4,37121,0,13,0
70,Kia Vaughn,ATL,36,29,11,18,13.8,2.5,0.2,110000,0,8,0
71,Kiah Stokes,LVA,30,31,22,9,15.3,2.3,1.4,115000,0,11,0
72,Kianna Smith,LAS,24,11,2,9,10.2,2.6,-5.5,9285,0,16,0
73,Kierstan Bell,LVA,23,21,18,3,5.8,1.3,-2.9,69446,0,11,0
74,Kristi Toliver,LAS,36,11,4,7,19.8,5.9,-5.0,190606,0,3,0
